,id,name,MP,GA,GA90,SoTA,Saves%,CS%,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT%,G/Sh
341,a712ca2b,Issa Diop,229,0,0.0,0.0,0.0,0.0,15,4,0,0,46,2,74,27.040909090909096,2.3000000000000003
342,b391383a,Harrison Ashby,41,0,0.0,0.0,0.0,0.0,2,8,0,0,10,1,1,11.11111111111111,0.0
343,6adbc307,Jack Stephens,237,0,0.0,0.0,0.0,0.0,9,9,0,0,40,3,47,14.229032258064516,1.3199999999999998
344,2f8d27bc,Nathan Ferguson,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
345,1ef37668,Erik Pieters,474,0,0.0,0.0,0.0,0.0,8,28,0,0,81,2,70,8.552941176470586,1.3
346,7956236f,Emiliano Martinez,207,229,24.87,800.0,56.955999999999996,30.82,2,1,0,0,14,0,0,0.0,0.0
347,fdf3cb77,Vladimir Coufal,306,0,0.0,0.0,0.0,0.0,11,24,0,0,38,3,51,14.02727272727273,0.11
348,980522ec,Christian Eriksen,544,0,0.0,0.0,0.0,0.0,108,149,0,0,33,0,585,21.365306122448978,2.32
349,c14bc029,Saul Niguez,415,0,0.0,0.0,0.0,0.0,47,18,3,5,94,1,409,21.06666666666667,2.4400000000000004
350,495945ef,Ashley Westwood,463,0,0.0,0.0,0.0,0.0,26,50,2,5,75,1,84,6.983333333333333,0.39
351,2f965a72,Alphonse Areola,286,275,28.01,964.0,57.80000000000001,40.53125,0,0,0,0,6,0,1,0.0,0.0
352,466fb2c5,Aaron Ramsdale,184,255,13.469999999999999,728.0,58.90833333333333,33.291666666666664,0,1,0,0,2,0,0,0.0,0.0
353,6b625ac2,Illan Meslier,141,210,12.93,559.0,59.25454545454545,30.30909090909091,0,0,0,0,8,0,0,0.0,0.0
354,0562b7f1,Odsonne Edouard,206,0,0.0,0.0,0.0,0.0,84,28,8,9,16,0,343,35.33529411764706,2.62
355,50dc94ce,Donny van de Beek,251,0,0.0,0.0,0.0,0.0,45,36,1,1,19,1,161,18.31923076923077,1.95
356,c40b6180,Adam Webster,307,0,0.0,0.0,0.0,0.0,16,9,0,0,32,2,108,12.332142857142857,1.58
357,e8832875,Joao Pedro,124,0,0.0,0.0,0.0,0.0,28,8,3,3,11,1,228,31.130000000000003,1.3499999999999999
358,5aaef9ef,Juraj Kucka,372,0,0.0,0.0,0.0,0.0,47,29,8,8,91,10,271,8.720833333333333,0.53
359,fc15fb84,Dwight McNeil,166,0,0.0,0.0,0.0,0.0,9,19,0,0,13,0,179,30.728571428571428,0.38
360,8f62b6ee,Hugo Lloris,690,750,50.059999999999995,2724.0,68.00238095238097,24.888095238095236,0,0,0,0,9,3,0,0.0,0.0
361,92b4758e,Samir Santos,216,0,0.0,0.0,0.0,0.0,10,6,0,0,44,1,61,24.433333333333334,1.02
362,e7ca0439,James Tomkins,352,0,0.0,0.0,0.0,0.0,18,9,0,0,57,3,82,10.879310344827585,0.74
363,beb391dd,Maxwel Cornet,297,0,0.0,0.0,0.0,0.0,55,31,0,1,25,2,303,25.637931034482754,2.69
364,e7ee38c3,Robin Olsen,241,278,36.41,973.0,66.33076923076922,31.323076923076922,0,0,0,0,9,1,0,0.0,0.0
365,a1d5bd30,Marcus Rashford,335,0,0.0,0.0,0.0,0.0,112,53,10,12,30,1,682,36.76875,3.5900000000000007
366,6dfd8f05,Romain Perraud,146,0,0.0,0.0,0.0,0.0,13,12,0,0,18,0,125,20.162499999999998,1.4600000000000002
367,f1e94cd6,Nathan Tella,110,0,0.0,0.0,0.0,0.0,25,13,2,2,13,1,87,19.3,0.8600000000000001
